study_word,test,,,,,,,,,,,,,,,,,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,_ia_n_,,,,,,,,,,,,,,,,,"piano
",[0.025],[-0.30277777777777776],[1],[0],[0],[5.490967299963813],['text_3'],,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,_oo_,,,,,,,,,,,,,,,,,book,[0.06574074074074074],[-0.30092592592592593],[1],[0],[0],[3.2594710000557825],['text_3'],,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,_p_a_d_,,,,,,,,,,,,,,,,,"
",[],[],[],[],[],[],[],42.9241931,42.9241931,42.9241931,9.9963771,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,c_m_r_,,,,,,,,,,,,,,,,,camera,[0.06111111111111111],[-0.3101851851851852],[1],[0],[0],[3.7766898999689147],['text_3'],,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,_a_e,,,,,,,,,,,,,,,,,vase,[0.06111111111111111],[-0.3101851851851852],[1],[0],[0],[2.9072852000244893],['text_3'],,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,_ea_o_,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,_o_s_,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,t_g_r,,,,,,,,,,,,,,,,,tiger,[0.06111111111111111],[-0.3175925925925926],[1],[0],[0],[3.2279253999586217],['text_3'],,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,o_a_n_e,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],82.8735162,82.8735162,82.8735162,9.9979621,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,c_s_i_n,,,,,,,,,,,,,,,,,cushion,[0.05740740740740741],[-0.3175925925925926],[1],[0],[0],[5.695616899989545],['text_3'],,,,,92606,1,2023-10-13_00h18.38.045,wordpriming,2023.1.3,59.79166194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,prop hit from study list,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,from non primed,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,priming score=,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
